+,!,*,&,ASTSize,ASTDepth,SUM_LIB,SUM_NODE,AVE_LIB,lev,power,area,delay
12,28,12,19,115,21,828,71,15.923076923076923,3,30.99,38.72,20.73
0,814,849,4,2521,46,26004,1667,15.636800962116657,7,105.14,76.52,90.87
6,998,934,14,2907,27,29686,1952,15.317853457172342,8,100.98,105.68,120.06
1,58122,62950,0,184025,41,1908024,121073,15.759285720185343,16,140.76,242.38,231.89
9,488,515,24,1585,33,15956,1036,15.766798418972332,5,98.12,111.51,63.96
10,602,544,15,1741,25,17646,1171,15.264705882352942,7,74.42,96.81,69.58
6,97,87,12,308,18,2943,202,15.489473684210527,4,37.42,46.42,34.44
0,3670,3969,3,11615,38,120348,7642,15.754418117554653,12,131.38,157.46,130.95
0,3427,3869,0,11166,32,115961,7296,15.893777412280702,12,90.31,104.51,131.03
6,72,66,8,233,13,2256,152,15.666666666666666,5,71.61,46.66,45.48
2,540,522,3,1595,23,16396,1067,15.409774436090226,9,113.14,106.84,99.93
8,79,75,10,266,15,2569,172,15.858024691358025,7,47.88,44.09,61.56
8,2685,2642,10,8006,26,82497,5345,15.463355201499532,12,124.14,176.13,151.8
1,115,130,7,392,14,3921,253,15.939024390243903,6,84.35,62.29,50.47
0,50,63,0,177,14,1836,113,16.24778761061947,6,36.9,17.26,42.56
5,59,47,12,188,15,1695,123,15.27027027027027,3,45.6,43.86,19.01
4,6520,6191,4,18919,39,194986,12719,15.335116004718836,9,84.03,105.44,120.26
4,464,448,6,1381,18,14136,922,15.43231441048035,7,54.2,51.32,59.52
5,2863,3008,12,8914,34,92073,5888,15.66933287950987,10,116.91,145.8,103.23
11,856,836,13,2577,22,26382,1716,15.491485613623018,8,85.62,118.27,88.86
8,695,617,13,1972,26,20037,1333,15.179545454545455,7,64.02,66.72,93.81
0,806,854,3,2521,24,26042,1663,15.687951807228915,9,75.85,59.72,91.39
4,77688,76503,15,230733,45,2382362,154210,15.45031940075878,14,134.5,176.83,206.8
5,3167,2872,14,8950,28,91817,6058,15.19142951687624,9,119.6,116.41,113.28
0,4311,4057,7,12440,38,128053,8375,15.302700764818356,12,248.07,223.72,140.08
6,1013,1060,6,3158,24,32593,2085,15.677248677248677,9,79.61,96.34,104.4
5,683,619,7,1946,21,19895,1314,15.221882172915073,8,106.26,100.31,93.86
4,622,659,4,1957,24,20200,1289,15.719844357976653,7,51.94,40.59,50.64
5,3803,4343,11,12522,30,129903,8162,15.937062937062937,10,98.32,152.57,104.35
5,40634,36382,9,113427,39,1166240,77030,15.141844432038015,16,130.45,188.72,169.57
1,516,622,13,1789,24,18354,1152,16.114135206321336,8,151.77,129.7,99.46
4,1246,1239,11,3755,25,38576,2500,15.498593812776216,8,63.55,49.92,73.51
0,59970,70903,13,201803,47,2099596,130886,16.04300352249891,12,126.94,196.66,154.71
2,9083,9641,16,28402,38,293901,18742,15.694809355975648,10,136.9,164.7,134.17
1,2907,2319,1,7550,28,77207,5228,14.770805433326956,12,92.34,124.34,118.56
9,2705,2740,12,8228,29,84859,5466,15.559039237257059,9,52.01,59.72,94.8
1,3690,3386,0,10465,30,107728,7077,15.22226932315953,11,79.67,108.94,124.87
3,1373,1209,5,3808,25,39033,2590,15.09980657640232,8,73.9,100.31,92.52
1,4083,3788,6,11674,33,120109,7878,15.257748983739837,11,91.16,124.57,115.93
0,19,23,1,68,10,677,43,16.11904761904762,4,26.97,16.56,33.81
8,97,87,10,308,14,2995,202,15.598958333333334,5,101.53,57.39,46.73
3,1172,1187,10,3573,25,36740,2372,15.554614733276884,7,47.12,73.72,50.87
3,21,20,4,76,9,707,48,16.068181818181817,4,32.14,19.6,29.86
1,313,248,2,816,21,8299,564,14.766903914590747,6,40.76,44.56,39.37
4,1562,1543,4,4665,28,48108,3113,15.473785783210035,12,106.59,126.9,99.4
1,87,79,1,250,17,2547,168,15.251497005988025,6,58.04,36.86,56.92
9,652,753,20,2217,30,22668,1434,16.031117397454032,7,109.87,102.41,75.42
1,2170,2106,10,6405,36,65888,4287,15.405190554126724,10,207.43,174.03,167.52
7,193,186,8,596,17,6011,394,15.572538860103627,6,68.74,59.49,51.83
4,1838,1961,12,5793,25,59788,3815,15.721272679463581,9,87.93,104.51,90.16
2,487,464,5,1430,20,14643,958,15.365162644281217,7,65.32,65.32,59.2
5,1032,1058,10,3179,24,32694,2105,15.605727923627684,10,88.87,96.34,112.32
4,1208,1130,6,3489,26,35836,2348,15.301451750640478,9,98.15,120.84,116.25
7,21,20,9,94,12,811,57,16.895833333333332,2,34.78,21.23,17.85
3,3638,3849,4,11351,25,117498,7494,15.687316421895861,7,39.59,44.79,65.55
8,263,272,15,854,24,8559,558,15.762430939226519,6,65.04,53.89,67.25
2,1510,1235,2,3989,25,40812,2749,14.856934838005097,10,59.1,71.62,121.72
6,1754,2070,6,5919,26,61482,3836,16.052741514360314,9,51.01,91.45,124.19
8,55,36,14,172,17,1495,113,15.1010101010101,3,38.89,28.46,20.04
5,3206,3089,10,9415,27,96942,6310,15.387619047619047,9,86.87,82.81,97.99
2,992,992,11,3003,26,30804,1997,15.510574018126889,8,92.89,101.24,97.16
6,105,104,11,348,17,3389,226,15.762790697674419,5,38.14,45.26,56.15
6,513,506,9,1556,21,15905,1034,15.517073170731708,9,117.85,77.45,104.44
0,6486,7244,7,20989,54,217742,13737,15.858849235251274,12,134.8,160.96,192.79
1,67,55,4,188,12,1839,127,14.951219512195122,5,43.9,37.79,29.61
2,450,378,1,1213,25,12418,831,14.96144578313253,8,45.93,39.19,47.53
19,44,23,34,197,36,1396,120,16.232558139534884,3,53.5,62.29,20.73
8,54,41,11,175,14,1596,114,15.495145631067961,4,51.7,36.62,23.37
2,35624,33846,1,103323,38,1065280,69473,15.333947489636113,15,138.49,249.84,232.19
4,1858,1985,14,5865,27,60496,3861,15.725500389914219,10,156.33,123.17,105.42
6,54,50,10,187,12,1742,120,15.836363636363636,5,38.25,41.29,42.69
9,2466,2426,11,7359,26,75800,4912,15.466231381350745,11,138.6,174.96,136.14
0,486,514,5,1525,34,15682,1005,15.682,8,181.81,132.97,60.63
5,4175,3259,7,10718,27,109403,7446,14.706681005511493,9,40.71,52.25,87.75
3,84,94,6,291,13,2902,187,16.03314917127072,6,49.1,41.52,55.07
1,395,392,1,1184,25,12205,789,15.488578680203046,9,60.41,76.05,74.21
7,821,663,7,2176,23,22157,1498,14.860496311200537,9,110.13,113.14,103.53
0,2613,2864,3,8348,45,86525,5480,15.797882052218368,12,149.99,150.93,145.3
9,845,987,16,2870,28,29553,1857,16.052688756110808,7,54.72,64.39,61.55
2,7380,7656,1,22699,34,234904,15039,15.620694241255485,13,154.78,226.51,174.81
5,54,51,18,203,21,1738,128,15.8,3,65.52,39.66,24.7
6,925,798,10,2554,22,26037,1739,15.058993637941006,8,75.26,78.15,88.63
11,3599,3769,18,11196,39,115595,7397,15.665401815964223,8,94.66,103.11,112.35
12,351,366,21,1150,32,11523,750,15.806584362139917,5,62.72,79.08,65.44
7,3885,3796,8,11508,31,118659,7696,15.434313215400625,11,136.27,199.69,129.94
0,341,281,1,906,18,9251,623,14.87299035369775,2,3.02,3.97,10.74
1,7226,8072,5,23383,40,242644,15304,15.860121576573633,13,128.47,180.79,170.7
7,36498,41992,18,120533,40,1252488,78515,15.955870925003504,11,64.32,118.74,103.18
6,666,604,19,1925,31,19438,1295,15.233542319749215,7,96.38,120.84,92.95
3,806,794,2,2405,27,24800,1605,15.470991890205864,9,108.91,116.17,100.21
1,28,30,0,91,15,938,59,15.898305084745763,7,35.96,24.49,50.68
14,3350,3429,23,10283,39,105952,6816,15.59723244516414,10,155.25,235.85,122.64
3,2085,1980,2,6056,31,62403,4070,15.339970501474927,11,124.88,138.8,113.8
4,45,48,3,156,15,1565,100,16.1340206185567,5,26.0,22.63,35.58
7,19,7,13,74,16,507,46,15.363636363636363,1,19.56,22.16,6.01
4,67,68,8,228,18,2203,147,15.848920863309353,6,43.95,35.46,30.41
6,299,294,8,916,21,9315,607,15.550918196994992,6,85.47,98.21,62.17
12,322,305,13,983,19,9920,652,15.524256651017215,7,74.07,84.45,74.01
2,1245,1185,4,3628,22,37327,2436,15.34827302631579,10,49.71,78.62,72.83
4,5113,4426,9,13992,30,143493,9552,15.036466519962277,13,95.77,172.86,161.72
2,666,665,8,2017,22,20676,1341,15.510877719429857,9,125.08,101.24,97.27
8,453,589,17,1682,27,17243,1067,16.421904761904763,6,65.1,58.09,50.91
1,2240,2122,5,6497,45,66870,4368,15.326610130644053,11,176.57,189.89,144.53
12,797,687,18,2232,29,22599,1514,15.106283422459892,7,80.75,110.34,87.18
0,601,669,4,1948,65,20127,1274,15.848031496062992,9,196.99,140.2,78.94
1,2634,2454,0,7545,28,77720,5089,15.272155629789742,12,145.3,185.69,129.53
12,2153,1747,13,5698,29,58123,3925,14.857617586912065,9,109.31,131.8,165.7
5,754,695,16,2187,24,22206,1470,15.272352132049518,7,102.36,94.01,98.28
4,501,408,7,1340,24,13589,920,14.883899233296823,8,90.53,82.11,92.76
11,1004,975,11,2999,22,30772,2001,15.463316582914572,9,135.36,178.23,95.21
2,9718,10120,12,29987,35,310154,19852,15.632762096774194,8,67.32,63.22,85.29
6,1064,1149,7,3389,25,35010,2226,15.777377196935557,9,87.64,87.71,77.74
9,1296,1047,10,3429,23,34932,2362,14.85204081632653,8,91.47,74.42,108.2
8,3065,3047,14,9204,30,94827,6134,15.494607843137254,9,82.22,90.75,145.8
2,9500,9994,1,29495,39,305420,19497,15.665777595404185,10,70.3,98.91,117.29
6,491,451,8,1422,27,14497,956,15.292194092827005,8,74.02,65.09,83.06
6,110,108,11,361,16,3522,235,15.723214285714286,5,62.84,54.59,37.81
10,18872,16758,12,52433,37,538784,35652,15.117396184062851,11,110.38,190.59,221.03
0,26922,31815,3,90559,67,942228,58740,16.04147300679299,14,76.53,72.78,133.17
9,934,808,23,2615,31,26416,1774,15.086236436322102,9,126.9,127.14,117.27
2,3832,4226,2,12293,32,127512,8062,15.820347394540942,9,66.05,81.88,123.27
5,61,64,11,222,15,2087,141,16.053846153846155,3,47.45,43.62,31.62
4,1956,1726,8,5433,25,55680,3694,15.105805751492133,8,79.15,67.18,56.07
2,5917,6566,1,19056,32,197757,12486,15.839567480977173,4,18.52,6.53,18.47
6,328,290,7,935,19,9488,631,15.205128205128204,7,109.66,110.11,64.0
6,2606,2921,7,8475,28,87872,5540,15.881438640881981,12,144.58,145.57,146.18
5,1937,1864,14,5704,29,58571,3820,15.389122438255386,9,85.41,108.01,102.13
8,2212,2373,14,7003,29,72322,4607,15.746135423470498,10,107.3,137.64,133.81
2,56,53,2,171,16,1722,113,15.513513513513514,7,58.61,37.32,44.53
3,621,568,10,1784,22,18163,1202,15.23741610738255,8,52.92,54.12,66.31
0,200,218,2,641,29,6596,420,15.779904306220097,6,50.09,37.56,37.6
6,924,930,12,2821,25,28932,1872,15.55483870967742,8,118.49,144.63,96.59
2,68,70,6,225,14,2204,146,15.742857142857142,3,22.28,21.7,16.87
9,33,18,14,116,17,927,74,15.45,3,30.89,31.96,23.31
8,75,59,10,230,15,2181,152,15.359154929577464,4,62.19,40.82,35.03
0,198,240,6,691,18,7062,444,16.123287671232877,5,30.36,35.93,44.72
6,1518,1473,6,4489,29,46224,3003,15.423423423423424,11,122.37,136.7,107.54
4,1176,1063,4,3319,28,34074,2247,15.191261703076238,10,95.29,114.77,127.25
3,410,381,4,1187,20,12150,798,15.302267002518892,6,59.52,59.72,60.93
0,23282,21754,3,66797,50,688126,45039,15.27946531663558,14,162.02,175.66,164.57
7,20,17,7,83,10,736,51,16.727272727272727,3,27.11,16.56,34.37
6,306,238,11,817,19,8146,561,14.81090909090909,6,57.04,61.12,54.45
11,70,60,21,255,25,2236,162,15.858156028368795,4,59.11,49.22,42.36
3,208,198,10,631,16,6306,419,15.418092909535453,7,81.03,72.55,72.72
5,773,797,20,2418,28,24621,1595,15.632380952380952,7,222.65,154.43,98.49
5,24139,23277,6,70716,37,729475,47427,15.382952700280466,16,208.83,304.66,238.81
6,920,968,5,2879,24,29732,1899,15.697993664202745,7,41.99,33.83,49.39
1,458,479,3,1425,33,14686,941,15.656716417910447,7,37.0,34.99,40.8
2,13034,14138,10,41335,36,428394,27184,15.764848752483992,8,34.03,48.06,61.86
4,150,134,5,437,16,4402,293,15.284722222222221,7,59.4,59.25,63.01
7,58,55,19,221,23,1914,139,15.95,3,61.22,40.12,33.3
4,5421,5158,6,15758,28,162369,10589,15.342435982235662,12,65.21,88.41,164.58
0,5852,5355,6,16575,38,170478,11213,15.211742660836977,12,102.32,145.8,118.23
0,102,108,6,331,15,3294,216,15.685714285714285,4,35.48,28.23,27.07
1,8227,7618,11,23488,37,241665,15857,15.250851950018932,12,274.41,203.42,186.57
0,2275,2504,2,7288,45,75563,4781,15.811466834065705,7,41.13,44.32,66.67
14,1079,1160,24,3476,34,35595,2277,15.798934753661785,8,85.4,114.07,91.15
11,1759,1697,12,5200,23,53451,3479,15.41707528122296,9,102.54,130.64,95.65
1,14471,12252,12,39002,33,399809,26736,14.960672055081575,13,155.92,187.32,258.7
5,8679,9539,6,27780,35,288099,18229,15.80963617406574,10,82.35,118.27,100.59
0,498,596,3,1697,52,17594,1097,16.082266910420476,8,78.92,57.62,80.13
2,149,161,9,494,16,4935,321,15.817307692307692,5,69.13,53.19,43.72
0,11239,10103,1,31448,103,323417,21343,15.154015556180301,12,111.38,114.54,174.01
4,2487,2491,5,7488,26,77289,4987,15.513649136892814,10,97.86,145.33,110.98
1,20385,21668,12,63748,34,660187,42066,15.69855423978694,9,69.46,68.35,144.81
1,5274,4984,2,15249,34,157140,10261,15.317282386197485,10,85.57,123.17,93.04
5,569,538,9,1674,21,17087,1121,15.366007194244604,7,66.07,50.16,52.37
4,1065,1086,13,3272,32,33581,2168,15.582830626450116,9,219.98,160.73,111.48
5,470,381,11,1265,22,12742,867,14.88551401869159,7,82.12,83.05,58.49
8,21368,19088,9,59579,36,612456,40473,15.135824436536181,10,127.72,123.41,91.89
1,26,28,3,91,12,876,58,15.927272727272728,4,33.81,25.43,32.89
5,51322,55134,4,161609,41,1674976,106465,15.733235644977974,14,92.3,152.33,144.52
6,116,122,9,391,15,3884,253,15.918032786885245,6,58.25,45.72,51.78
1,14838,16638,0,48117,36,499604,31477,15.872033548305112,14,101.16,141.37,194.13
5,608,529,5,1687,20,17240,1147,15.09632224168126,9,120.32,99.14,117.87
5,1323,1488,8,4326,23,44773,2824,15.899502840909092,9,85.34,101.71,115.64
1,10986,11150,0,33289,35,344200,22137,15.54862899218503,13,116.06,164.7,144.57
0,62,60,7,197,12,1878,129,15.39344262295082,4,47.26,31.03,37.26
6,57,45,6,172,12,1659,114,15.36111111111111,4,35.6,21.7,35.96
0,2354,1966,1,6289,31,64438,4321,14.916203703703705,7,32.32,31.49,58.87
5,256,254,9,793,19,8022,524,15.576699029126214,7,81.72,77.45,70.54
1,33486,33350,0,100189,47,1035100,66837,15.486930891572033,15,121.23,177.06,188.88
6,804,842,13,2527,25,25916,1665,15.687651331719128,7,94.89,106.14,94.31
2,27224,29577,22,86427,57,895762,56825,15.769624843758253,14,346.06,387.24,230.97
5,6514,7397,7,21333,35,221490,13923,15.916211555044553,7,45.21,50.86,70.04
1,183,167,1,522,18,5347,352,15.233618233618234,7,53.01,43.62,65.85
3,8519,7768,20,24102,36,247645,16310,15.202271332105587,12,233.02,205.29,148.31
2,491,471,1,1440,26,14833,965,15.386929460580912,9,102.14,83.51,87.58
1,66,65,2,203,13,2050,134,15.530303030303031,6,48.66,42.46,48.72
1,759,749,4,2268,19,23335,1513,15.46388336646786,7,43.42,42.69,70.51
3,18356,20442,16,59279,40,615006,38817,15.850261591196103,11,86.13,133.9,138.32
9,131,112,17,408,21,3877,269,15.384920634920634,4,60.02,62.05,27.08
4,254,223,6,721,16,7296,487,15.16839916839917,6,49.38,49.69,61.17
1,465,551,3,1576,22,16333,1020,16.059980334316617,8,80.13,76.98,73.85
3,65110,51046,5,167219,38,1709080,116164,14.713280933892337,15,118.59,185.22,202.71
6,2293,2229,5,6774,26,69831,4533,15.422040636042404,10,98.78,148.37,111.66
0,293,315,1,926,29,9567,609,15.735197368421053,5,31.61,22.39,44.48
11,246,267,11,825,17,8374,535,15.98091603053435,6,60.02,61.59,74.44
8,1033,944,16,2970,27,30273,2001,15.25088161209068,7,77.04,108.71,76.4
5,31,24,6,102,10,937,66,15.616666666666667,4,37.39,27.53,26.54
4,735,702,6,2160,21,22163,1447,15.38029146426093,7,64.64,72.32,87.69
8,307,304,10,952,17,9659,629,15.604200323101777,7,78.95,124.57,60.65
8,124,114,10,389,18,3832,256,15.577235772357724,5,68.25,55.05,65.96
5,694,665,12,2059,24,21006,1376,15.400293255131965,6,49.93,82.58,63.15
3,1042,916,5,2891,22,29608,1966,15.098419173890871,10,112.79,105.91,111.02
11,588,583,21,1819,29,18404,1203,15.570219966159053,7,126.37,126.44,94.63
1,50713,53987,8,158706,50,1644157,104709,15.703355268813096,15,151.85,263.61,193.81
7,227,246,14,762,21,7637,494,15.910416666666666,5,59.29,60.89,68.9
6,24489,24518,7,73552,38,759953,49020,15.50513129169812,15,111.68,123.41,140.26
12,5195,5812,15,16874,29,174931,11034,15.875397041473818,11,126.56,169.59,168.33
6,133,124,9,412,16,4081,272,15.517110266159696,5,63.22,47.36,55.12
8,1845,1755,19,5410,27,55423,3627,15.361141906873614,8,86.11,88.88,82.5
1,228,210,7,665,17,6698,446,15.257403189066059,5,35.54,26.36,51.04
1,355,317,8,1008,20,10195,681,15.148588410104011,7,73.29,70.45,61.53
3,1078,1131,11,3369,25,34662,2223,15.66998191681736,8,79.69,87.95,91.6
5,283,254,7,816,19,8265,549,15.249077490774908,8,77.98,70.45,71.45
2,8029,8476,1,24988,38,258785,16508,15.677288423093232,13,92.74,139.03,147.15
3,44079,50772,10,145650,39,1513773,94864,15.958979062559301,7,57.7,82.35,124.17
2,21136,22046,2,65237,38,675288,43186,15.637458317895517,7,37.1,38.02,57.68
1,1691,1772,6,5250,31,54229,3470,15.655023094688222,9,93.28,79.78,87.0
5,1217,1001,5,3240,29,33105,2228,14.89203778677463,8,78.66,120.61,102.73
5,23,21,14,104,16,799,63,16.306122448979593,2,34.89,27.06,13.68
1,96,99,3,303,15,3068,199,15.653061224489797,6,55.05,48.06,51.35
2,4996,5221,8,15459,32,159878,10227,15.645170760348371,10,84.48,100.54,112.45
0,40,53,4,155,13,1526,97,16.408602150537636,5,50.15,26.36,42.33
9,5097,5148,17,15446,38,159363,10271,15.54154476301931,13,131.18,205.52,148.62
5,491,521,15,1574,27,16011,1032,15.743362831858407,6,45.12,45.96,49.24
1,314,279,6,887,32,8990,600,15.134680134680135,8,116.76,84.21,72.65
6,7964,8223,6,24435,39,252738,16199,15.607855246093992,7,57.71,54.59,66.15
9,2486,2088,10,6701,25,68544,4593,14.956142264891993,10,83.32,99.38,103.21
3,3564,3810,2,11195,28,115974,7379,15.721024806832046,12,126.64,179.16,128.08
1,190,188,2,573,19,5872,381,15.493403693931398,7,51.58,43.86,60.82
2,905,767,9,2462,30,25071,1683,14.976702508960573,9,219.92,150.93,141.09
1,3016,2828,0,8675,29,89386,5845,15.29272882805817,12,98.12,128.77,94.65
0,1670,1772,3,5221,55,54014,3445,15.692620569436373,9,87.84,109.41,82.27
7,617,549,6,1742,21,17813,1179,15.185848252344416,8,96.32,111.04,82.36
4,261,236,10,762,18,7645,511,15.259481037924152,6,73.39,88.18,54.96
5,654,669,8,2019,21,20734,1336,15.612951807228916,9,82.03,82.11,98.95
0,34861,35958,3,106784,62,1104825,70822,15.600686256513082,8,71.99,63.45,69.76
1,25576,24655,7,74903,37,772620,50239,15.381032011466795,12,114.47,146.97,161.93
1,169,188,7,562,24,5683,365,15.874301675977653,5,39.94,38.26,36.78
2,2045,1914,1,5880,41,60565,3962,15.290330724564503,6,15.72,6.77,57.55
1,687,691,6,2084,25,21411,1385,15.526468455402465,8,126.68,87.71,89.22
0,1769,1646,0,5062,85,52133,3415,15.26588579795022,12,222.58,182.42,175.63
11,2011,2033,24,6148,37,63111,4079,15.563748458692972,8,72.41,85.85,115.06
8,9166,7396,15,24005,34,245414,16585,14.810742305371154,11,75.58,145.33,175.57
5,46,44,9,163,13,1512,104,15.91578947368421,4,32.76,35.46,42.88
2,3996,3508,1,11019,29,113192,7507,15.080202504662937,12,85.11,88.18,140.23
5,469,460,7,1414,19,14471,941,15.493576017130621,7,47.68,58.32,68.95
0,132,157,3,453,26,4642,292,16.06228373702422,5,37.3,17.73,36.32
8,170,155,15,527,20,5148,348,15.45945945945946,4,62.66,53.89,56.04
8,430,352,8,1167,20,11822,798,14.964556962025316,6,38.83,39.19,56.56
8,43,38,15,166,17,1431,104,16.078651685393258,5,41.01,41.06,38.39
0,127,124,0,376,21,3871,251,15.422310756972111,10,80.26,53.65,70.66
4,428,364,5,1175,19,11964,801,15.030150753768844,8,90.56,91.91,84.65
11,74,61,23,265,25,2294,169,15.712328767123287,4,100.97,60.89,34.94
5,3450,3358,9,10195,28,105056,6822,15.419932482019668,10,82.55,71.62,107.69
13,2087,2335,19,6822,30,70491,4454,15.89425028184893,8,86.51,90.05,102.61
3,1821,2004,7,5850,33,60555,3835,15.818965517241379,7,60.26,59.72,68.03
5,2495,2298,9,7120,25,73141,4807,15.244060025010421,8,65.55,80.71,78.77
6,1026,1086,17,3245,35,33282,2135,15.713881019830028,8,86.22,94.25,81.68
6,1433,1348,14,4170,32,42709,2801,15.324363114459993,9,85.86,115.47,98.28
2,104,91,2,295,16,2990,199,15.17766497461929,6,35.87,25.19,56.35
9,45306,40175,10,125695,47,1291838,85500,15.110983740788397,15,148.83,261.74,226.22
14,1103,1091,19,3352,30,34293,2227,15.53125,8,109.37,143.93,117.0
10,7459,7280,26,22092,51,227551,14775,15.428232422537121,9,102.21,137.87,131.98
3,26,32,6,109,10,1016,67,16.65573770491803,4,38.55,23.79,25.57
2,3996,4472,1,12947,31,134400,8471,15.867768595041323,10,76.24,85.61,108.99
1,14201,13295,6,40806,43,420325,27503,15.2862130414227,11,108.98,161.66,135.1
0,1761,1880,3,5528,38,57209,3644,15.712441636912937,6,44.24,17.5,43.83
10,134,101,17,391,22,3688,262,15.053061224489795,4,64.65,67.18,35.61
3,57,54,6,184,11,1779,120,15.605263157894736,4,35.39,28.46,36.74
5,4882,5113,6,15131,37,156554,10006,15.6554,11,106.9,154.2,171.62
4,1475,1355,9,4212,31,43189,2843,15.239590684544813,5,25.29,21.46,44.05
7,4178,3944,17,12115,33,124552,8146,15.321933817197687,9,91.12,160.03,123.56
13,696,713,17,2183,30,22288,1439,15.673699015471167,8,118.43,104.51,101.94
2,304,279,8,883,19,8926,593,15.258119658119659,7,97.77,98.21,74.5
13,560,483,19,1591,27,16004,1075,15.155303030303031,6,72.15,89.11,72.01
0,12930,13471,2,39877,71,412732,26403,15.633195712283626,10,71.19,83.05,102.75
0,2526,2847,1,8223,47,85368,5374,15.888330541596874,12,97.03,104.04,136.62
4,6081,6025,6,18152,30,187383,12116,15.473410404624277,13,147.3,174.96,159.35
3,3642,3513,3,10681,29,110142,7161,15.387259010896898,9,50.85,41.99,64.46
4,4550,3813,4,12193,34,124940,8371,14.932472809848214,9,89.21,58.32,95.86
8,179,150,11,518,17,5119,348,15.189910979228486,7,72.64,73.25,60.28
6,97,99,6,320,14,3207,208,15.876237623762377,6,52.37,61.35,60.16
8,48,33,12,155,17,1366,101,15.348314606741573,3,40.03,26.83,16.93
3,196,197,8,613,17,6176,404,15.595959595959595,7,72.91,65.55,48.09
5,2788,3018,8,8851,27,91618,5819,15.766305283083806,9,115.2,94.71,89.98
9,127,114,11,396,17,3885,261,15.54,5,56.11,49.22,48.49
7,495,569,11,1670,22,17155,1082,16.017740429505135,8,92.7,127.6,74.15
6,1271,1094,10,3492,25,35663,2381,15.041332770982708,9,85.99,79.55,83.08
2,2892,2940,1,8779,33,90760,5835,15.557079190949606,11,73.32,83.98,116.66
9,1080,978,11,3077,24,31470,2078,15.224963715529753,8,85.52,115.01,82.4
22,44,19,41,209,43,1386,126,16.305882352941175,1,57.03,57.39,15.88
11,79,66,13,260,17,2449,169,15.698717948717949,4,52.54,56.69,22.64
2,1738,1634,10,5031,40,51642,3384,15.305868405453468,11,234.96,174.26,117.12
10,383,358,12,1144,19,11583,763,15.423435419440745,8,107.05,93.55,89.12
5,216,184,4,603,19,6122,409,15.11604938271605,7,71.25,76.28,56.54
3,315,338,7,1012,19,10349,663,15.775914634146341,7,75.2,59.95,53.55
8,244,252,7,779,17,7948,511,15.76984126984127,6,63.16,46.89,69.3
4,5905,6169,6,18264,30,188967,12084,15.64555389965226,9,70.87,86.55,93.8
6,666,691,20,2101,30,21352,1383,15.665443873807776,7,107.34,82.11,63.17
11,93,79,16,306,21,2861,199,15.633879781420765,3,49.5,64.15,23.13
1,23,23,0,72,15,739,47,15.72340425531915,4,6.78,5.6,27.56
10,3099,3063,20,9286,35,95537,6192,15.479099157485418,9,107.81,148.6,125.82
2,50,58,10,191,15,1778,120,16.163636363636364,4,37.81,39.89,26.02
4,26382,26663,4,79725,35,824128,53053,15.535222153103735,13,88.98,153.96,175.41
2,1511,1057,2,3634,31,36905,2572,14.359922178988327,9,76.3,82.35,93.24
9,131,126,8,418,17,4185,274,15.733082706766917,6,108.48,64.39,51.45
3,40,37,5,131,16,1252,85,15.65,5,38.83,25.43,37.8
4,678,726,8,2155,21,22178,1416,15.751420454545455,10,117.23,128.3,110.27
4,765,759,7,2306,20,23687,1535,15.50196335078534,8,55.5,67.65,80.76
15,3235,3401,20,10108,37,104327,6671,15.685911892948429,9,116.19,178.69,129.39
4,440,440,7,1343,18,13744,891,15.547511312217194,7,58.71,60.65,74.76
9,113,90,16,344,19,3231,228,15.24056603773585,6,123.49,69.52,45.87
3,135,105,8,368,15,3603,251,14.82716049382716,5,70.21,37.09,40.76
12,21,8,21,104,23,677,62,16.51219512195122,1,28.89,28.93,15.88
10,2704,2417,21,7601,34,77770,5152,15.156889495225103,11,99.44,130.87,114.92
1,6090,5286,0,16665,34,171128,11377,15.041575107673376,13,123.08,159.8,143.78
2,355,376,12,1136,19,11519,745,15.71487039563438,7,144.01,106.84,61.41
3,2964,3365,7,9715,27,100784,6339,15.916614024005053,8,83.19,82.11,73.66
5,30197,36173,9,102572,42,1067709,66384,16.08601129943503,10,69.95,151.87,148.58
6,120,112,17,391,20,3700,255,15.546218487394958,5,70.85,54.82,40.54
6,16536,17001,7,50565,36,523002,33550,15.591986405509346,15,104.52,177.76,152.07
2,19864,20770,13,61435,41,635768,40649,15.645437543065261,13,77.17,101.94,129.83
0,1153,1238,1,3632,88,37613,2392,15.731074864073609,10,97.66,84.21,77.59
1,1152,1296,0,3747,27,38906,2449,15.886484279297672,4,23.29,11.2,35.09
1,5670,5124,8,15937,38,163784,10803,15.172209356183417,12,234.98,230.95,159.22
10,167,160,10,528,14,5283,347,15.676557863501484,6,85.47,75.12,59.7
4,858,816,6,2511,21,25778,1684,15.36233611442193,10,90.36,80.48,108.39
2,20439,20879,2,62206,40,643341,41322,15.569724104549854,14,90.75,121.77,151.85
5,72,75,12,257,16,2428,164,15.973684210526315,4,80.75,49.46,31.29
0,622,716,1,2057,38,21350,1339,15.956651718983558,9,70.09,54.82,69.11
5,55,53,10,192,15,1791,123,15.849557522123893,3,39.54,35.93,26.72
7,3825,3466,18,10808,37,110859,7316,15.190326116744313,9,98.23,170.99,106.51
10,52,36,15,175,19,1520,113,15.510204081632653,3,44.6,29.86,29.32
16,67,55,31,272,33,2229,169,16.152173913043477,3,102.36,57.39,27.32
5,93,83,7,284,13,2793,188,15.430939226519337,6,42.14,38.72,45.03
